CÓDIGO,TÍTULO
8010150400310786,SERVICIO DE COORDINACION DE ESTRATEGIAS PARA INTERVENCION MULTISECTORIAL
8010150400345385,SERVICIO DE ELABORACION DEL PLAN ESTRATEGICO DE COMUNICACIONES
8010150400364934,CONSULTORIA PARA IMPLEMENTACION DE MODELO DE GESTION BASADO EN BALANCED SCOREDCARD
8010150400369297,SERVICIO DE REVISION DE PLAN DE TRANSMISION
8010150400375961,SERVICIO DE CONSULTORIA DE IMPLEMENTACION Y CUMPLIMIENTO DE LA NORMATIVA DE SUSALUD
8010150400389877,CONSULTORIA PARA ELABORACION DE METODOLOGIA DE SEGUIMIENTO DE PLAN DE DESARROLLO NACIONAL
8010150500225958,CONSULTORIA PARA ELABORACION DE DOCUMENTO TECNICO METODOLOGICO RELACIONADO A AGRICULTURA
8010150500226726,CONSULTORIA DE CONTROL DE CALIDAD PARA LABORATORIO DE BIOQUIMICA
8010150500226921,SERVICIO DE DISEÑO DE UN SISTEMA DE CAPACITACION PERMANENTE
8010150500227049,SERVICIO DE IMPLEMENTACION DE RECOMENDACIONES ADMINISTRATIVAS
8010150500227079,SERVICIO DE ELABORACION DE PLAN DE TRABAJO
8010150500227090,SERVICIO DE IMPLEMENTACION DE PROGRAMA DE CAPACITACION
8010150500227178,SERVICIO DE DISEÑO DE PROPUESTA COMUNICACIONAL
8010150500227185,SERVICIO DE ELABORACION DE PLANES COMUNICACIONALES
8010150500227189,SERVICIO DE ASISTENCIA TECNICA ACADEMICA
8010150500227262,SERVICIO DE EVALUACION DE CAMPO
8010150500227266,SERVICIO DE EVALUACION DE CUMPLIMIENTO DE METAS PARA GESTION MUNICIPAL
8010150500228754,CONSULTORIA PARA IMPLEMENTACION DE LA NORMA TECNICA PERUANA ISO/IEC
8010150500228925,SERVICIO DE SEGUIMIENTO Y MONITOREO DE ACTIVIDADES DE CAMPO
8010150500229003,SERVICIO DE ORDENAMIENTO DE HISTORIAS CLINICAS
8010150500229443,"SERVICIO DE SUPERVISION, MONITOREO Y EVALUACION DE PLANES OPERATIVOS"
8010150500254638,CONSULTORIA PARA ACTUALIZACION DE MATRIZ DE METAS-POLITICA COMERCIAL
8010150500254833,CONSULTORIA DE CONTROL DE CALIDAD DE ATENCION AL USUARIO
8010150500255112,CONSULTORIA PARA EVALUACION DE LINEAMIENTO DE POLITICA NACIONAL
8010150500255499,SERVICIO DE IMPLEMENTACION DE MEJORAS PARA SUBSISTEMA DE CAPACITACION DE PERSONAL
8010150500258574,CONSULTORIA PARA CONCILIACION DE PLAN DE TRABAJO CON INSTRUMENTOS DE GESTION
8010150500258595,CONSULTORIA PARA ELABORACION DE DISEÑO DE PROGRAMA DE CONSTITUCION Y FORMALIZACION DE COOPERATIVAS
8010150500263747,CONSULTORIA PARA ELABORACION DE INSTRUCTIVO DE PROYECTO DE INVERSION PUBLICA
8010150500269939,SERVICIO DE ELABORACION DE MANUAL DE ORGANIZACION Y FUNCIONES
8010150500277447,CONSULTORIA PARA ELABORACION DE GUIA METODOLOGICA DEL APRENDIZAJE
8010150500278960,CONSULTORIA PARA SEGUIMIENTO EN MEJORA DE OPTIMIZACION DE INSPECCION TECNICA DE DEFENSA CIVIL
8010150500284402,CONSULTORIA PARA ELABORACION DE LINEAMIENTO PARA IMPLEMENTACION DE METAS
8010150500284510,CONSULTORIA DE REVISION DE INSTRUMENTOS PARA MONITOREO
8010150500287750,CONSULTORIA PARA ELABORACION DE PLAN DE CAPACITACION PARA DOCENTES
8010150500289290,SERVICIO DE EVALUACION DE DOCUMENTACION EMITIDA PARA ACCESO A LA INFORMACION DEL ESTADO
8010150500289291,SERVICIO DE IMPLEMENTACION DE ACTIVIDADES ESTRATEGICAS EN TEMAS DE ACCESO A LA INFORMACION
8010150500289517,CONSULTORIA PARA ELABORACION DE ESTRATEGIA DE DIFUSION
8010150500292871,CONSULTORIA PARA IDENTIFICACION DE INSTRUMENTOS DE DESARROLLO PRODUCTIVO
8010150500292898,CONSULTORIA EN TEMAS DE PARTICIPACION CIUDADANA
8010150500292906,SERVICIO DE EVALUACION PARA APTITUD PSICOLABORAL
8010150500292918,CONSULTORIA PARA ELABORACION DE GUIA METODOLOGICA PARA ELABORACION DE EXPEDIENTE TECNICO
8010150500292926,SERVICIO DE ELABORACION DE INFORME DE BUENAS PRACTICAS DE GESTION
8010150500292929,SERVICIO DE EVALUACION DE INFORMACION PARA TRAMITE DOCUMENTARIO
8010150500296716,CONSULTORIA PARA EVALUACION DE INSTRUMENTOS DE GESTION
8010150500297266,CONSULTORIA TECNICA PEDAGOGICA DE MATERIALES EDUCATIVOS
8010150500297336,SERVICIO DE EVALUACION E IMPLEMENTACION DE ESTANDARES PARA MEJORA DE ATENCION AL USUARIO
8010150500297911,SERVICIO DE ELABORACION DE ANALISIS DE ACCIONES PARA COMUNICACION INTERNA
8010150500297949,SERVICIO DE ELABORACION DE POLITICAS INSTITUCIONALES PARA CAPACITACION AL PERSONAL
8010150500297956,SERVICIO DE EVALUACION DE GESTION Y CAPACIDAD PRODUCTIVA
8010150500297979,SERVICIO DE REGISTRO Y CATALOGACION DE BIENES CULTURALES MUEBLES
8010150500298607,SERVICIO DE ESTUDIO DE MODERNIZACION DE LA GESTION PUBLICA
8010150500298764,CONSULTORIA PARA ELABORACION DE MODELO DE GESTION ADMISTRATIVA
8010150500298768,CONSULTORIA PARA ELABORACION DE PROPUESTA DE AGENDA DE COMPETITIVIDAD
8010150500302363,SERVICIO DE SEGUIMIENTO Y MONITOREO DE SUSTENTACION DE TESIS PARA BECARIOS POSTGRADO
8010150500302642,SERVICIO DE EVALUACION DE PROCESO PARA CONVOCATORIA DE BECAS
8010150500302648,SERVICIO DE IDENTIFICACION DE NORMAS Y/O REGLAMENTOS PARA DISPOSITIVOS MEDICOS
8010150500302657,SERVICIO DE MONITORES DE CASOS DE ABANDONO DE BECAS
8010150500304901,CONSULTORIA EN APLICACION DEL CODIGO DE PESCA RESPONSABLE Y DESARROLLO SOSTENIBLE
8010150500304911,CONSULTORIA PARA CALENDARIZACION DE ACCIONES DE ARTICULACION TERRITORIAL RESIDUOS SOLIDOS
8010150500304921,CONSULTORIA PARA ELABORACION DE METODOLOGIA PARA ESTIMACION DE BRECHA DE INFRAESTRUCTURA
8010150500304931,"CONSULTORIA PARA EDICION, DIAGRAMACION Y DISEÑO DE DOCUMENTO TECNICO"
8010150500305025,CONSULTORIA PARA IMPLEMENTACION DE LA NORMA TECNICA PERUANA ISO
8010150500305039,CONSULTORIA PARA SISTEMATIZACION DE ANALISIS POR BRECHAS DE LA LUCHA CONTRA LA POBREZA
8010150500305047,CONSULTORIA DE VALIDACION DE FACTORES DE CAMBIO PARA EXPECTATIVAS DE FUTURO
8010150500305061,CONSULTORIA PARA ELABORACION DE DISEÑO DE MODELO Y SISTEMA DE GESTION DE CALIDAD DE SERVICIOS
8010150500306219,SERVICIO DE ELABORACION DEL PLAN DE CONTINGENCIA
8010150500306225,SERVICIO DE EVALUACION DE COMPONENTES PARA DESARROLLO SOSTENIBLE
8010150500306238,SERVICIO DE LEVANTAMIENTO Y ACTUALIZACION DE INFORMACION PRODUCTIVA
8010150500306243,SERVICIO DE ELABORACION DE PLAN DE TRABAJO PARA TEMAS SOBRE MEDIO AMBIENTE Y CAMBIO CLIMATICO
8010150500307026,SERVICIO DE SUPERVISION DE SISTEMA DE PRODUCCION Y ALMACENAMIENTO DE MICROFORMAS
8010150500307039,SERVICIO DE ELABORACION DE DIAGNOSTICO PARA SISTEMAS DE GESTION
8010150500310208,CONSULTORIA PARA ELABORACION DE ANALISIS Y CONSOLIDACION DEL ESTADO SITUACIONAL DE PROYECTOS DE LEY
8010150500310794,CONSULTORIA PARA ELABORACION DE FICHA TECNICA DE INDICADOR DE DESEMPEÑO DE PEQUEÑOS PRODUCTORES AL MERCADO
8010150500310797,CONSULTORIA PARA IMPLEMENTACION DE LINEAS DE ACCION DE INCLUSION FINANCIERA
8010150500310866,CONSULTORIA EN RESULTADOS DE LA LINEA BASE DE EMISION DE LICENCIAS DE EDIFICACION
8010150500310870,SERVICIO DE ELABORACION DE ANALISIS Y DISEÑO DE PROCESO DE REGISTRO DE FICHAS TECNICAS PARA PROYECTOS DE EMERGENCIA
8010150500310879,SERVICIO DE COORDINACION Y DIRECCION DE MESAS DE DISCUSION
8010150500310883,SERVICIO DE ELABORACION DE INFORME TECNICO LEGAL
8010150500310910,SERVICIO DE ELABORACION DE RANKING DE PERCEPCION DE EGRESADOS UNIVERSITARIOS PARA LAS EMPRESAS
8010150500310911,SERVICIO DE EVALUACION DE CONDUCCION DE VEHICULOS
8010150500310912,SERVICIO DE EVALUACION DE CUMPLIMIENTO DE CONVENIOS
8010150500313425,SERVICIO DE ELABORACION DE PROGRAMA CURRICULAR PARA VIGILANCIA Y PATRULLAJE
8010150500313430,SERVICIO DE PLANIFICACION Y ANALISIS PARA PROCESOS OPERACIONALES
8010150500315205,SERVICIO DE DESARROLLO DE EVALUACION DE COMPETENCIAS A OPERADORES DEL SISTEMA NACIONAL PARA PLANEAMIENTO ESTRATEGICO
8010150500315294,CONSULTORIA PARA EVALUACION Y ELABORACION DE INFORMES TECNICOS DE CIERRE Y DE SEGUIMIENTO
8010150500315324,"CONSULTORIA PARA ELABORACION DE DISEÑO DE POLITICAS DE COBRANZAS, RECUPERACION E INVERSION"
8010150500315479,SERVICIO DE APLICACION DE PRUEBAS DE DESARROLLO Y MEDICION PARA APRENDIZAJE
8010150500316231,SERVICIO DE EVALUACION DE GESTION DE ADMINISTRADORES TEMPORALES DESIGNADOS
8010150500320118,CONSULTORIA PARA EVALUACION DE CALIDAD DE SERVICIO DE MESA DE AYUDA
8010150500328534,CONSULTORIA PARA ELABORACION DE ANALISIS DE TIEMPO Y PROBLEMATICA DEL SERVICIO DE NOTIFICACIONES
8010150500328556,SERVICIO DE CLASIFICACION Y SEGUIMIENTO PARA REQUERIMIENTOS DE BIENES Y SERVICIOS
8010150500328561,SERVICIO DE ELABORACION DE ESTUDIO CON ENFOQUE PROSPECTIVO
8010150500328646,CONSULTORIA PARA ELABORACION DE PROPUESTA PARA MEJORAR LA ENSEÑANZA Y LOS APRENDIZAJES
8010150500328655,CONSULTORIA EN DERECHO Y POLITICAS PUBLICAS
8010150500328667,CONSULTORIA EN MEDICION CUANTITATIVA Y CUALITATIVA DEL NIVEL DE SATISFACCION DE USUARIOS
8010150500328930,SERVICIO DE ASISTENCIA EN MONITOREO DE MEJORAMIENTO DE GESTION EDUCATIVA DESCENTRALIZADA PARA AMBITO RURAL
8010150500328941,SERVICIO DE DESARROLLO Y APLICACION DE HERRAMIENTAS DE GESTION
8010150500328981,SERVICIO DE ELABORACION DE PROPUESTA DE EVALUACION PARA PROGRAMAS DE LIDERAZGO
8010150500328996,CONSULTORIA PARA IDENTIFICACION DE HERRAMIENTAS DE GESTION
8010150500329001,CONSULTORIA DE ESTANDARES DE CALIDAD PARA SERVICIOS LOGISTICOS
8010150500329692,SERVICIO PARA EFECTUAR EL DESARROLLO Y EJECUCION DE CONTROLES EN LOS PROCESOS
8010150500329700,SERVICIO DE ELABORACION DE ANALISIS DE INFORMACION PARA PROCESOS ADMINISTRATIVOS
8010150500331330,CONSULTORIA EN TEMAS DE SEGURIDAD Y SALUD EN EL TRABAJO
8010150500334997,CONSULTORIA PARA IMPLEMENTACION DE POLITICAS DE SEGURIDAD
8010150500335023,CONSULTORIA DE ELABORACION DE PROPUESTA METODOLOGICA CUANTITATIVA PARA LA GESTION EDUCATIVA
8010150500335253,SERVICIO DE ELABORACION DE ANALISIS PARA GESTION ADMINISTRATIVA
8010150500335585,SERVICIO DE APLICACION DE INSTRUMENTOS DE EVALUACION
8010150500335586,SERVICIO DE APLICACION DE INSTRUMENTOS PARA RECOJO DE INFORMACION DE CAMPO
8010150500345026,SERVICIO DE REVISION DE PROPUESTA DE REDISEÑO ORGANIZACIONAL
8010150500345049,SERVICIO DE SEGUIMIENTO DE IMPLEMENTACION Y EJECUCION DE CONVENIO
8010150500345052,SERVICIO DE SEGUIMIENTO Y COORDINACION DE ACTIVIDADES ADMINISTRATIVAS
8010150500345054,SERVICIO DE SEGUIMIENTO Y MONITOREO DE DESEMPEÑO DE GESTORES
8010150500345083,SERVICIO DE VERIFICACION DE ORDENES DE TRABAJO
8010150500345087,SERVICIO DE ZONIFICACION DE LOCAL
8010150500345365,SERVICIO DE ELABORACION DE PROGRAMA DE CONTROL DE DOCUMENTOS
8010150500345387,SERVICIO DE ELABORACION Y SEGUIMIENTO DE PRODUCTOS NORMATIVOS PARA LA ADECUACION
8010150500345422,SERVICIO DE IMPLEMENTACION DE ESTANDARES PARA MEJORAR LA ATENCION AL USUARIO
8010150500345434,SERVICIO DE LEVANTAMIENTO DE INFORMACION DE EVALUACION PARA LA CALIDAD DEL SERVICIO EDUCATIVO
8010150500345468,SERVICIO DE ORGANIZACION Y SUPERVISION DE LEVANTAMIENTO DE INFORMACION PARA NUEVOS SERVICIOS DE ATENCION
8010150500345471,"SERVICIO DE PLANIFICACION, ORGANIZACION, PRODUCCION Y EJECUCION DE PUBLICIDAD EN LINEA PARA LA PROMOCION DIRECTA DE SERVICIOS"
8010150500351910,CONSULTORIA PARA IMPLEMENTACION DE PROGRAMAS PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS
8010150500358388,CONSULTORIA PARA ELABORACION DE ESTUDIO DE CONCESION DEL SISTEMA DE TRANSPORTE
8010150500358389,CONSULTORIA PARA ELABORACION DE ESTUDIO DE CONCESION DEL SISTEMA DE RECAUDO ELECTRONICO Y GESTION DE FLOTA DE OPERACION DE SISTEMA DE TRANSPORTE
8010150500365212,CONSULTORIA PARA ELABORACION DE INSTRUMENTO DE GESTION DE ETICA Y PREVENCION DE DELITOS EN INSTITUCIONES PUBLICAS
8010150500365216,CONSULTORIA PARA IMPLEMENTACION DE BUENAS PRACTICAS EN AUDITORIA
8010150500369312,CONSULTORIA PARA ELABORACION DE NORMA TECNICA
8010150500369335,CONSULTORIA PARA ELABORACION DOCUMENTOS DE GESTION DE RECURSOS ENERGETICOS RENOVABLES
8010150500374264,CONSULTORIA PARA ELABORACION DE PLAN DE MANTENIMIENTO DE INFRAESTRUCTURA Y EQUIPOS
8010150500374411,SERVICIO DE CAPACITACION Y ASISTENCIA EN CRIANZA DE ANIMALES MENORES
8010150500374412,SERVICIO DE CAPACITACION Y ASISTENCIA PARA CORTE Y CONFECCION
8010150500374695,SERVICIO DE ASISTENCIA TECNICA PARA LA ELABORACION DEL ESTUDIO DE LINEA BASE DE LOS INSTITUTOS TECNICOS
8010150500374696,SERVICIO DE ASISTENCIA TECNICA PARA EL DISEÑO DE LA PLATAFORMA DIGITAL EN LOS INSTITUTOS TECNICOS
8010150500375320,SERVICIO DE ASISTENCIA TECNICA PARA IMPLEMENTAR EL PLAN DE MONITOREO ARQUEOLOGICO
8010150500377353,SERVICIO DE REVISION DE DOCUMENTOS DE COMPENSACION ECONOMICA
8010150500382525,SERVICIO DE DESARROLLO E IMPLEMENTACION DE MEJORAS FUNCIONALES PARA EL SISTEMA DE INFORMACIÓN UNIVERSITARIA
8010150500388693,SERVICIO DE VALIDACION DE AUTENTICIDAD DE PERSONAS A TRAVES DE PLATAFORMA DE AUTENTICACION BIOMETRICA
8010150500391805,SERVICIO DE CAPACITACION Y ASISTENCIA TECNICA EN ESQUILA ELECTROMECANICA DE ALPACAS
8010150600225425,CONSULTORIA PARA LA ELABORACION DEL PLAN DE ECOEFICIENCIA INSTITUCIONAL
8010150600225618,CONSULTORIA EN OPTIMIZACION DE FUNCIONES
8010150600255212,CONSULTORIA PARA ELABORACION DE DISEÑO DE INDICADORES DE GESTION
8010150600283673,SERVICIO DE ELABORACION DE ANALISIS ORGANIZACIONAL
8010150600287217,CONSULTORIA PARA ELABORACION DEL TUPA
8010150600292923,CONSULTORIA PARA ELABORACION DE DISEÑO DE ESTRUCTURA ORGANIZACIONAL
8010150600329025,SERVICIO DE ELABORACION DE FLUJOGRAMA
8010150600335484,CONSULTORIA PARA REORGANIZACION DE BIBLIOTECA
8010150600336368,CONSULTORIA PARA ELABORACION DE DIAGNOSTICO FISICO Y FUNCIONAL DE LOCALES INSTITUCIONALES
8010150600345375,SERVICIO DE ELABORACION DE PROPUESTA PARA MEJORA ORGANIZACIONAL
8010150700225496,CONSULTORIA PARA IMPLEMENTACION DE METODOLOGIA DE DESARROLLO
8010150700225499,CONSULTORIA PARA ELABORACION PLAN ESTRATEGICO DE TECNOLOGIA DE INFORMACION
8010150700225506,CONSULTORIA PARA IMPLEMENTACION DE PLATAFORMA VIRTUAL
8010150700227242,SERVICIO DE SUPERVISION DE PROYECTO DE TECNOLOGIA DE LA INFORMACION
8010150700254553,CONSULTORIA PARA EVALUACION DE SITUACION ACTUAL Y PROPUESTA DE MEJORAS DE GESTION DOCUMENTAL DE SISTEMA
8010150700254567,CONSULTORIA PARA EVALUACION Y SEGUIMIENTO DE IMPLEMENTACION DE SISTEMAS
8010150700254630,CONSULTORIA PARA SUPERVISION Y MONITOREO DE DESARROLLO DE APLICATIVO INFORMATICO
8010150700254853,CONSULTORIA PARA INTEGRACION E INTEROPERABILIDAD DE SISTEMAS
8010150700255188,CONSULTORIA PARA DESARROLLO DE ESTRATEGIA DE MARCA
8010150700255320,SERVICIO DE IMPLEMENTACION DE SISTEMA DE GESTION PARA LA SUPERVISION DEL CALL CENTER
8010150700258566,"CONSULTORIA PARA ELABORACION DE ANALIS, DISEÑO, CONSTRUCCION Y DESPLIEGUE CONSULTAS"
8010150700278878,CONSULTORIA PARA IMPLEMENTACION DE SISTEMA INFORMATICO
8010150700284409,CONSULTORIA PARA ELABORACION DE PROPUESTA DE MEJORAMIENTO DE PAGINA WEB
8010150700284504,CONSULTORIA PARA IMPLEMENTACION DE SISTEMA DE INDICE DISTRIBUCION DE RECURSOS
8010150700286769,CONSULTORIA DE ELABORACION DE DISEÑO E IMPLEMENTACION DE MECANISMOS PARA INTEROPERATIVIDAD DE SISTEMAS DE INFORMACION
8010150700287220,CONSULTORIA DE ELABORACION E IMPLEMENTACION PARA PLAN DESASTRES EN TECNOLOGIA DE INFORMACION
8010150700287650,"SERVICIO DE DISEÑO, APLICACION Y PROCESAMIENTO PARA PRUEBA DE CONOCIMIENTO"
8010150700287774,SERVICIO DE EVALUACION DE ACCESO A LA INFORMACION Y PORTAL TRANSPARENCIA DEL ESTADO
8010150700297954,SERVICIO DE SUPERVISION DE PLATAFORMA PARA ATENCION AL CLIENTE
8010150700304796,SERVICIO DE MODERNIZACION DE HERRAMIENTAS INFORMATICAS DE GESTION PARA PROCESOS DE ACREDITACION
8010150700305003,CONSULTORIA PARA IMPLEMENTACION DE SISTEMAS DE TRAMITE DIGITAL
8010150700314995,CONSULTORIA PARA ELABORACION DE DIAGNOSTICO DE CONTENIDO DE PORTAL WEB
8010150700328818,CONSULTORIA PARA ELABORACION DE PLAN DE CONTINUIDAD OPERATIVA DE SOFTWARE
8010150700328942,SERVICIO DE IMPLEMENTACION DE SISTEMA PARA GESTION DE CALIDAD
8010150700335062,CONSULTORIA DE ELABORACION PARA ESTRATEGIA COMUNICACIONAL DE REDES SOCIALES
8010150700335159,CONSULTORIA PARA ELABORACION DE DIAGNOSTICO SITUACIONAL DE INFRAESTRUCTURA TECNOLOGICA
8010150700335175,CONSULTORIA PARA ELABORACION DE BASE DE DATOS DE ESTRUCTURA DE COSTOS
8010150700335199,CONSULTORIA DE EVALUACION PARA PLATAFORMA TECNOLOGICA Y APLICATIVO INFORMATICO
8010150700345443,SERVICIO DE MEDICION DE LINEA BASE DE REQUERIMIENTO E INCIDENTES PARA SOPORTE INFORMATICO
8010150700361019,CONSULTORIA EN INTEGRACION DE SISTEMAS DE ENERGIA ELECTRICA
8010150700389972,SERVICIO DE DIAGNOSTICO PARA IMPLEMENTACION DE CENTRO DE DATOS DE RESPALDO
8010150700391397,SERVICIO DE ELABORACION DE EXPEDIENTE TECNICO PARA DESARROLLO DE SISTEMA DE TRAMITE DOCUMENTARIO
8010150700392591,SERVICIO DE CONFIGURACION Y MANTENIMIENTO DE LA INFRAESTRUCTURA TECNOLOGICA DEL SISTEMA DE INFORMACION
8010150800128134,CONSULTORIA DE INTELIGENCIA EMPRESARIAL
8010150800225414,CONSULTORIA EN GESTION EMPRESARIAL
8010150800227033,SERVICIO DE PROMOCION DE CREACION DE MYPES
8010150800254841,CONSULTORIA PARA IMPLEMENTACION DE LAS RECOMENDACIONES EN INNOVACION
8010150800376441,SERVICIO DE SUSCRIPCION ONLINE DE INFORMACION FINANCIERA Y OPERATIVA PARA EMPRESAS DE PETROLEO Y GAS
8010150800382822,"SERVICIO DE LA ELABORACION DE INDICES DE CALIDAD SOBRE EL PROFESORADO, LA DOCENCIA Y LOS RECURSOS PEDAGOGICOS PARA LAS UNIVERSIDADES PERUANAS"
8010150900225430,CONSULTORIA PARA EVALUACION DE COSTOS DE SERVICIO LIMPIEZA PUBLICA
8010150900226319,CONSULTORIA PARA ELABORACION DE ESTUDIO DE BRECHAS DE SERVICIOS BASICOS SECTOR EDUCACION
8010150900297245,CONSULTORIA DE PRIORIZACION DE CADENAS PRODUCTIVAS PARA GOBIERNOS REGIONAL Y LOCAL
8010150900390438,SERVICIO DE GESTION DE PLAN DE GOBIERNO DIGITAL
8010151000128136,CONSULTORIA DE EVALUACION DE APLICACION PARA GESTION DE RIESGOS
8010151000254835,CONSULTORIA DE ELABORACION DE GUIA DE EVALUACION PARA RIESGOS AMBIENTALES
8010151000254865,CONSULTORIA DE ELABORACION DE ESTUDIO DE RIESGOS PARA CENTRAL TERMICA
8010151000255151,CONSULTORIA DE ELABORACION DE PAUTA DE GESTION DE RIESGOS DE DESASTRES PARA PROYECTO DE INVERSION PUBLICA
8010151000255306,CONSULTORIA PARA EVALUACION DE RIESGOS DE SISTEMA DE SEGURIDAD INTERNA
8010151000297154,CONSULTORIA DE GESTION DE RIESGOS PARA CENTRAL DE DATOS
8010151000297157,CONSULTORIA DE IMPLEMENTACION DE ANALISIS DE RIESGOS Y EVALUACION PARA CONTROL INTERNO
8010151000307061,CONSULTORIA DE MONITOREO DE SEGURIDAD Y RIESGOS EN OPERACIONES
8010151000328906,CONSULTORIA DE ELABORACION DE PLAN DE REDUCCION DE RIESGOS PARA CONFLICTOS SOCIALES
8010151000329713,CONSULTORIA DE GESTION DE RIESGOS PARA SEGURIDAD DE LA INFORMACION
8010151000335181,CONSULTORIA DE IDENTIFICACION DE MAPA DE RIESGOS Y PELIGROS PARA SEGURIDAD Y SALUD DEL TRABAJO
8010151000345354,CONSULTORIA DE ELABORACION DE MAPAS DE RIESGO PARA CENTRO LABORAL
8010151000358792,CONSULTORIA PARA ELABORACION DE ESTUDIO DE RIESGOS PARA LABORATORIO
8010151000360598,CONSULTORIA DE ELABORACION DE ANALISIS PARA RIESGO EN OPERACIONES
8010151000369304,"CONSULTORIA PARA LA DETERMINACION DE LOS TIEMPOS Y MOVIMIENTOS DE CONEXION, CORTE Y RECONEXION"
8010151000374498,SERVICIO DE ELABORACION DE MAPAS DE RIESGO PARA CENTRO LABORAL
8010151100230165,CONSULTORIA PARA ELABORACION DE ESTUDIO DE CLIMA LABORAL
8010151100255147,CONSULTORIA DE ELABORACION DE PARAMETROS DE EVALUACION DE PRECIO SOCIAL PARA MANO DE OBRA
8010151100284412,CONSULTORIA PARA EVALUACION DE DOCENTES
8010151100284521,SERVICIO DE ELABORACION DE CUADRO RECURSOS HUMANOS Y CLASIFICADOR PARA CARGOS Y PERFILES
8010151100305014,SERVICIO DE ELABORACION DE CUADERNOS DE TRABAJO
8010151100314996,CONSULTORIA DE ELABORACION DE DIAGNOSTICO SITUACIONAL DE TRABAJADORES CON DISCAPACIDAD PARA EL SECTOR PUBLICO
8010151100315311,CONSULTORIA DE NORMAS QUE REGULAN INDEMNIZACIONES PARA ACCIDENTES DE TRABAJO O ENFERMEDADES PROFESIONALES
8010151100335167,CONSULTORIA DE ELABORACION DE DISEÑO Y CONDUCCION DE LA CONSULTA DEL PERFIL PARA DOCENTE
8010151100335170,"CONSULTORIA DE ELABORACION DE DISEÑO, VALIDACION Y EVALUACION DE INSTRUMENTOS DE MONITOREO PARA DESARROLLO DE CAPACIDADES"
8010151100335195,CONSULTORIA PARA EVALUACION DE CLIMA LABORAL
8010151100335580,SERVICIO DE ELABORACION DE ANALISIS PARA LA ELABORAR LA DOTACION DE PERSONAL
8010151100335581,SERVICIO DE EVALUACION DE PROCESOS DE SELECCION PARA RECURSOS HUMANOS
8010151100345453,SERVICIO DE MONITOREO DE ERGONOMIA
8010151200315288,"CONSULTORIA DE ELABORACION DE ESTUDIO ACTUARIAL PARA SEGURO SUBSIDIADO, SEMISUBSIDIADO Y SEMICONTRIBUTIVO"
8010151300226352,CONSULTORIA DE FORTALECIMIENTO DE PROCESO DE SEGUIMIENTO Y EVALUACION PARA PROYECTO DE INVERSION PUBLICA
8010151300227293,CONSULTORIA EN PROCESOS CONTABLES Y FINANCIEROS
8010151300228953,SERVICIO DE AUDITORIA DE CALIDAD DE PROCESOS
8010151300254731,CONSULTORIA PARA SUPERVISION FUNCIONAL DE MEJORAMIENTO DE PROCESOS
8010151300254822,CONSULTORIA DE IMPLEMENTACION DE PROPUESTA PARA DISEÑO DE PROCESOS
8010151300263751,CONSULTORIA PARA ELABORACION DE ANALISIS Y DISEÑO DE AUTOMATIZACION DE PROCESOS
8010151300269893,CONSULTORIA DE ELABORACION DE ANALISIS DE PROCESO PARA CONTRATACIONES RELACIONADO A INVERSION PUBLICA
8010151300278935,CONSULTORIA PARA MAPEO DE PROCESOS
8010151300279443,CONSULTORIA DE SOPORTE DE PROCESOS DE IMPLEMENTACION PARA COMPETITIVAD PRODUCTIVA
8010151300284429,CONSULTORIA DE ELABORACION DE ANALISIS DE PROCESO DE EJECUCION DE OBRAS PARA PROYECTO DE INVERSION PUBLICA
8010151300289322,CONSULTORIA DE PERITAJE PARA PROCESO ARBITRAL
8010151300297933,CONSULTORIA DE ELABORACION DE DIAGNOSTICO DE IMPLEMENTACION PARA GESTION POR PROCESOS
8010151300297963,SERVICIO DE IMPLEMENTACION DE PROCESOS DE GESTION PARA APLICATIVO INFORMATICO
8010151300304898,CONSULTORIA DE ELABORACION DE ANALISIS Y DISEÑO DE PROCESOS DE REGISTRO PARA FICHAS TECNICAS DE PROYECTOS
8010151300304926,CONSULTORIA DE DIAGRAMACION Y CARACTERIZACION PARA PROCESOS DE LA ENTIDAD
8010151300315346,"CONSULTORIA DE PROCESAMIENTO, MANEJO Y ANALISIS DE BASES DE DATOS PARA ENCUESTAS"
8010151300315474,CONSULTORIA DE ELABORACION DE ANALISIS DE PROCESO ADMINISTRATIVO PARA GESTION DOCUMENTAL
8010151300328654,CONSULTORIA DE IMPLEMENTACION DE GESTION DE CONOCIMIENTOS EN PROCESOS PARA TECNOLOGIAS DE LA INFORMACION
8010151300328817,CONSULTORIA DE PROCESO DE SELECCION E INDUCCION DE EQUIPO TECNICO PARA RECURSOS HUMANOS
8010151300329657,SERVICIO DE DETERMINACION DE COSTOS DE NUEVOS PROCEDIMIENTOS ADMINISTRATIVOS A INCLUR EN EL TUPA
8010151300329703,CONSULTORIA PARA ELABORACION DE INFORME TECNICO SOBRE LA EVALUACION DE LA EFICIENCIA Y EFICACIA DE LOS PROCESOS DE CONTROL
8010151300335249,SERVICIO DE ELABORACION DE MAPA DE PROCESOS
8010151300365107,CONSULTORIA PARA ELABORACION DE PROCEDIMIENTO PARA EVALUACION DE SISTEMA DE CONTROL INTERNO
8010151300379706,SERVICIO DE MEMBRESIA INSTITUCIONAL Y DEPARTAMENTAL
8010151300389431,SERVICIO DE ELABORACION DE PROCEDIMIENTOS TECNICOS
